CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Phone_Number,Email_ID,clusters,Customer Type,Business action
86,Male,48,54,46,9800000085,customer86@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
87,Female,55,57,58,9800000086,customer87@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
88,Female,22,57,55,9800000087,customer88@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
89,Female,34,58,60,9800000088,customer89@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
90,Female,50,58,46,9800000089,customer90@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
91,Female,68,59,55,9800000090,customer91@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
92,Male,18,59,41,9800000091,customer92@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
93,Male,48,60,49,9800000092,customer93@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
94,Female,40,60,40,9800000093,customer94@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
95,Female,32,60,42,9800000094,customer95@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
96,Male,24,60,52,9800000095,customer96@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
97,Female,47,60,47,9800000096,customer97@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
98,Female,27,60,50,9800000097,customer98@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
99,Male,48,61,42,9800000098,customer99@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
100,Male,20,61,49,9800000099,customer100@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
101,Female,23,62,41,9800000100,customer101@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
102,Female,49,62,48,9800000101,customer102@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
103,Male,67,62,59,9800000102,customer103@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
104,Male,26,62,55,9800000103,customer104@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
105,Male,49,62,56,9800000104,customer105@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
106,Female,21,62,42,9800000105,customer106@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
107,Female,66,63,50,9800000106,customer107@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
108,Male,54,63,46,9800000107,customer108@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
109,Male,68,63,43,9800000108,customer109@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
110,Male,66,63,48,9800000109,customer110@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
111,Male,65,63,52,9800000110,customer111@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
112,Female,19,63,54,9800000111,customer112@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
113,Female,38,64,42,9800000112,customer113@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
114,Male,19,64,46,9800000113,customer114@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
115,Female,18,65,48,9800000114,customer115@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
116,Female,19,65,50,9800000115,customer116@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
117,Female,63,65,43,9800000116,customer117@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
118,Female,49,65,59,9800000117,customer118@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
119,Female,51,67,43,9800000118,customer119@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
120,Female,50,67,57,9800000119,customer120@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
121,Male,27,67,56,9800000120,customer121@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
122,Female,38,67,40,9800000121,customer122@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
123,Female,40,69,58,9800000122,customer123@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
127,Male,43,71,35,9800000126,customer127@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
133,Female,25,72,34,9800000132,customer133@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
143,Female,28,76,40,9800000142,customer143@example.com,0,Budget Customers,"Boost: Discounts, combo offers, budget deals"
